,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
426767,9584688,De krokete myrane,De krokete myrane,De krokete myrane,58.97435,9.24035,H,MRSH,NO,,38.0,3815.0,,,0,,191,Europe/Oslo,2019-12-12
432611,9590619,De mørke buktene,De morke buktene,"De morke buktene,De mørke buktene",58.90172,9.5532,H,INLT,NO,,38.0,3814.0,,,0,,5,Europe/Oslo,2019-12-12
458573,9652950,De svarte berga,De svarte berga,De svarte berga,60.125080000000004,9.50567,T,HLL,NO,,30.0,3045.0,,,0,,420,Europe/Oslo,2019-12-12
502146,9716269,De små skjæra,De sma skjaera,"De sma skjaera,De små skjæra",58.9014,9.53024,T,RK,NO,,38.0,3814.0,,,0,,5,Europe/Oslo,2019-12-12
502196,9716319,De gule haugene,De gule haugene,De gule haugene,58.6378,9.15805,T,RK,NO,,42.0,4213.0,,,0,,-9999,Europe/Oslo,2019-12-12
518755,9732910,De lange dalene,De lange dalene,De lange dalene,58.56496,8.76615,T,VAL,NO,,42.0,4203.0,,,0,,165,Europe/Oslo,2019-12-12
551233,9765480,De små Mjøvann,De sma Mjovann,"De sma Mjovann,De små Mjøvann",59.58185,9.89991,H,STM,NO,,30.0,3006.0,,,0,,466,Europe/Oslo,2019-12-12
605777,12089765,De Brente Kleivane,De Brente Kleivane,De Brente Kleivane,59.30995,9.84186,T,SLP,NO,,38.0,3805.0,,,0,,150,Europe/Oslo,2019-12-14
11113,3134910,Knivsflåfossen,Knivsflafossen,"7 Sostre,7 Systre,7 Söstre,Dei sju systrene,Knivsflaelvane,Knivsflafossen,Knivsflåelvane,Knivsflåfossen,Seven Sisters,Seven Sisters Falls,Sju Systre,Sjusystre,Syv Sostre,Syv Systre,Syv Söstre",62.10807,7.09104,H,FLLS,NO,,8.0,1525.0,,,0,,-9999,Europe/Oslo,2016-10-15
99841,9068783,Dei grøne oddane,Dei grone oddane,"Dei grone oddane,Dei grøne oddane",59.18165,8.68241,T,HDLD,NO,,38.0,3822.0,,,0,,543,Europe/Oslo,2019-12-12
124188,9154155,Dei grøne brota,Dei grone brota,"Dei grone brota,Dei grøne brota",59.08435,8.27534,T,CLF,NO,,38.0,3823.0,,,0,,851,Europe/Oslo,2019-12-12
124694,9154661,Dei svårte bergi,Dei svarte bergi,"Dei svarte bergi,Dei svårte bergi",59.427769999999995,7.26933,T,CLF,NO,,42.0,4222.0,,,0,,1242,Europe/Oslo,2019-12-12
145861,9210293,Dei tre nutane,Dei tre nutane,Dei tre nutane,58.99034,7.5134,T,HLL,NO,,42.0,4220.0,,,0,,849,Europe/Oslo,2019-12-12
157842,9222417,Dei snaue fjellane,Dei snaue fjellane,Dei snaue fjellane,58.36133,7.964519999999999,T,HLL,NO,,42.0,4218.0,,,0,,264,Europe/Oslo,2019-12-12
159263,9223933,Dei tri nutane,Dei tri nutane,Dei tri nutane,59.40008,7.330419999999999,T,HLL,NO,,42.0,4222.0,,,0,,1276,Europe/Oslo,2019-12-12
161049,9225918,Dei brende bakkane,Dei brende bakkane,Dei brende bakkane,58.45009,7.80155,T,HLL,NO,,42.0,4223.0,,,0,,178,Europe/Oslo,2019-12-12
169119,9234106,Dei brente åsan,Dei brente asan,"Dei brente asan,Dei brente åsan",59.29608,8.32434,T,HLL,NO,,38.0,3821.0,,,0,,847,Europe/Oslo,2019-12-12
181343,9246533,Dei høge vardane,Dei hoge vardane,"Dei hoge vardane,Dei høge vardane",59.39615,6.997560000000001,T,HLL,NO,,42.0,4222.0,,,0,,1241,Europe/Oslo,2019-12-12
201874,9311154,Dei tvo tjønin,Dei tvo tjonin,"Dei tvo tjonin,Dei tvo tjønin",59.09092,7.78665,H,PND,NO,,42.0,4221.0,,,0,,882,Europe/Oslo,2019-12-12
207855,9317145,Dei små Vorviktjønnene,Dei sma Vorviktjonnene,"Dei sma Vorviktjonnene,Dei små Vorviktjønnene",58.68015,8.60908,H,PND,NO,,42.0,4217.0,,,0,,158,Europe/Oslo,2019-12-12
208363,9317661,Dei to tjønnane,Dei to tjonnane,"Dei to tjonnane,Dei to tjønnane",58.460519999999995,7.61215,H,PND,NO,,42.0,4219.0,,,0,,406,Europe/Oslo,2019-12-12
