,_name,country,postcode,_type,lat,lng,in
539,New York,USA,,state,43.1561681,-75.84499459999999,1
558,Nordland,Norway,,state,67.27564050000001,13.8623606,1
569,Norge,Norway,,country,60.5000209,9.099971499999999,1
588,Nørholmen,Norway,4887,village,58.3035103,8.512619500000001,1
592,Ostende,Belgium,8400,city,51.2258565,2.919496,1
601,Paris,France,,city,48.856696899999996,2.3514616000000004,1
612,Polden,Norway,5423,bus_stop,59.86646700000001,5.1018989999999995,1
616,Roma,Italy,,city,41.894802,12.4853384,1
636,Rusland,Russia,,country,64.6863136,97.7453061,1
645,Saba,Netherlands,,city,17.631703100000003,-63.237773700000005,1
653,Sagvika,Norway,2879,road,60.8023215,10.2184244,1
657,Samsø,Denmark,8305,county,55.8835431,10.611431699999999,1
