,_name,country,postcode,_type,lat,lng
182,Elverum,Norway,,farmyard,59.7665707,11.1239793
183,Elverum,Norway,2406,railway,60.8829542,11.5460413
184,Elverum,Norway,9300,road,69.2347697,18.0169551
185,Elverum,Norway,,road,69.02123990000001,18.803774899999997
186,England,United Kingdom,,state,52.795479099999994,-0.5402403
187,England,Sweden,,county,59.0744958,16.3221178
188,England,USA,,village,40.8403347,-82.2393255
189,England,Germany,84434,village,48.427056,12.0611888
190,England,USA,,village,35.884530299999994,-94.6680018
191,England,USA,,city,34.5442609,-91.96902850000001
192,England,Germany,52080,village,50.7711984,6.1824957000000005
193,England,Norway,1349,farm,59.9187944,10.4629806
194,England,Norway,1407,village,59.727991700000004,10.724927800000001
195,England,Norway,3891,village,59.5201583,8.194616700000001
196,Equador,Ecuador,,country,-1.3397668,-79.3666965
197,Equador,DR Congo,,state,0.06196,19.1407767
198,Equador,Brazil,,village,-6.8907136,-36.6644722
199,Equador,Brazil,,city,-6.944482400000001,-36.7177572
200,Equador,Brazil,68906129,village,0.0019338,-51.122151
201,Equador,Brazil,,village,1.0984450000000001,-50.044151
202,Equador,Brazil,,village,-0.154309,-60.696086
203,Equador,USA,89030,road,36.2192051,-115.10993400000001
204,Equador,Argentina,N3334,road,-26.816683,-54.960375600000006
205,Equador,Brazil,20220-410,railway,-22.8978837,-43.2047579
206,Europa,,,unknown,51.0,10.0
207,Europa,France,,county,-22.3673163,40.346378200000004
208,Europa,Colombia,,city,9.4946388,-75.2872389
209,Europa,USA,63876,village,36.090068,-90.1775963
210,Europa,Lithuania,,village,54.8652568,24.903792000000003
211,Europa,Brazil,,village,-7.676467999999999,-69.16068100000001
212,Europa,Brazil,,village,-7.502350999999999,-73.012287
213,Europa,Colombia,,village,9.671037,-74.4279822
214,Europa,Cuba,,village,22.7356201,-82.6087051
215,Europa,Italy,,city,45.615629999999996,10.081760000000001
216,Finland,Finland,,country,63.2467777,25.9209164
217,Finland,USA,18970,village,40.3842677,-75.4193454
218,Finland,USA,24042,village,33.365988,-81.0931547
219,Finland,USA,55603,village,47.414636200000004,-91.2490485
220,Finland,United Arab Emirates,,islet,25.2325734,55.1598522
221,Finland,Norway,1816,farm,59.47262779999999,11.1622972
222,Finland,Norway,2233,village,59.9535821,11.9727892
223,Finland,Sweden,,village,58.451269499999995,16.4864874
224,Finland,Sweden,,islet,59.740754599999995,12.710647300000002
225,Finland,Norway,1911,village,59.8125924,11.111375500000001
226,Fjell,Norway,,county,60.357891,4.8087945
227,Fjell,Norway,,village,67.1807833,14.485939800000002
228,Fjell,Norway,1550,village,59.5619583,10.77715
229,Fjell,Norway,1404,village,59.7917863,10.9530215
230,Fjell,Norway,,village,59.142391700000005,11.634175
231,Fjell,Norway,3034,neighbourhood,59.7188164,10.221389
232,Fjell,Norway,,farm,59.1511559,11.4296148
233,Fjell,Norway,1791,farm,59.1508,11.429175
234,Fjell,Norway,,farm,59.199175,11.424125
235,Fjell,Norway,1765,farm,59.036513899999996,11.4406444
236,Frankrike,France,,country,46.603353999999996,1.8883334999999999
237,Frankrike,France,,state,46.603353999999996,1.8883334999999999
238,Frankrike,Sweden,75597,village,59.878730299999994,17.8097767
239,Frankrike,Sweden,,farm,61.939758,16.9824549
240,Frankrike,Norway,,village,59.453275,8.361636099999998
241,Frankrike,Sweden,33153,building,57.1853039,14.020677300000001
242,Frankrike,Norway,3967,bus_stop,58.961951,9.558561
243,Frankrike,Sweden,,city,63.71666999999999,13.516670000000001
244,Gaden,Germany,93326,village,48.8076622,11.8659413
245,Gaden,Germany,83329,village,47.9347618,12.7543577
246,Gaden,Germany,85290,village,48.6832891,11.630792199999998
247,Gaden,Germany,85416,village,48.408935,11.872551800000002
248,Gaden,Germany,84094,village,48.6908231,11.8771594
249,Gaden,Indonesia,,village,-7.7427902,110.6708301
250,Gaden,Switzerland,9621,village,47.3508939,9.106481599999999
251,Gaden,Denmark,1429,road,55.67359520000001,12.5996215
252,Gaden,Germany,83329,neighbourhood,47.934836499999996,12.753508199999999
253,Gaden,Germany,93326,road,48.8078737,11.868300999999999
254,Gjøvik,Norway,,county,60.87216170000001,10.5038864
255,Gjøvik,Norway,2815,city,60.7904113,10.6899329
256,Gjøvik,Norway,2815,station,60.79700749999999,10.694541300000001
257,Gjøvik,Norway,2815,building,60.7971572,10.6943571
258,Gjøvik,Norway,2815,ferry_terminal,60.7979336,10.6999906
259,Grand Hotel,Libya,021,hotel,32.8930837,13.184728699999999
260,Grand Hotel,USA,49757,hotel,45.8510193,-84.6261613
261,Grand Hotel,United Kingdom,YO11 2ET,hotel,54.280477399999995,-0.39779770000000003
262,Grand Hotel,Norway,0159,hotel,59.9138017,10.739527
263,Grand Hotel,Sweden,111 48,hotel,59.329631400000004,18.0754875
264,Grand Hotel,France,45260,village,47.8895537,2.4474703
265,Grand Hotel,France,45230,village,47.799994299999994,2.9280644000000002
266,Grand Hotel,France,59240,building,51.048038899999995,2.3826379
267,Grand Hotel,USA,10001,building,40.747152500000006,-73.9878037
268,Grimstad,Norway,,county,58.2839967,8.7128291
269,Grimstad,Norway,4876,city,58.339907999999994,8.5911966
270,Grimstad,Norway,8145,village,66.94496099999999,13.722585999999998
271,Grimstad,Norway,,village,59.361075,10.8096
272,Grimstad,Norway,6674,village,63.0501422,8.0349428
273,Grimstad,Norway,5869,farm,60.319616700000005,5.2299
274,Grimstad,Norway,,farm,60.4876,10.4455
275,Grimstad,Norway,,farm,59.383527799999996,11.2909972
276,Grimstad,Norway,1655,farm,59.20605,11.048713900000001
277,Grimstad,Norway,1655,farm,59.21075,11.053925
278,Grønland,Greenland,,country,77.61923490000001,-42.8125967
279,Grønland,Norway,0188,neighbourhood,59.912138899999995,10.7614924
280,Grønland,Norway,4900,village,58.60691,8.955891699999999
281,Grønland,Norway,,village,66.698942,13.520878
282,Grønland,Norway,,village,59.903492500000006,10.397412
283,Grønland,Norway,,village,59.903402799999995,10.3974111
284,Grønland,Norway,,farm,59.304325,9.6459278
285,Grønland,Norway,3760,farm,58.918336100000005,9.15075
286,Grønland,Norway,3731,village,59.21249720000001,9.53575
287,Grønland,Norway,,village,58.9817333,9.232916699999999
288,Hamarøy,Norway,,county,67.89099559999998,15.8881705
289,Hamarøy,Norway,,county,67.98087199999999,16.512348
290,Hamarøy,Norway,,village,68.08441020000001,15.641507
291,Hamsund,Norway,8290,bus_stop,68.101524,15.520473999999998
292,Hamsund,Norway,6280,ferry_terminal,62.5343517,6.2676202000000005
293,Hamsund,Norway,,city,68.10282,15.51958
294,Hannover,Germany,,city,52.374477899999995,9.738553199999998
295,Hannover,USA,,neighbourhood,39.3914968,-77.4456998
296,Hannover,USA,,village,47.1113877,-101.4265402
297,Hannover,Germany,27804,village,53.174469900000005,8.506839300000001
298,Hannover,Chile,1020759,road,-18.4749342,-70.2973087
299,Hannover,Chile,5310847,road,-40.5700894,-73.10803759999999
300,Hannover,Chile,7750000,road,-33.4517574,-70.57484559999999
301,Hannover,Chile,4650000,road,-37.8095024,-72.69568840000001
302,Hannover,Philippines,1718,road,14.459904500000002,121.0043042
303,Hannover,Chile,4600770,road,-36.7950706,-73.1024186
304,Harrow,United Kingdom,,city,51.5967688,-0.3372752
305,Harrow,United Kingdom,HA1 1LG,city,51.581091,-0.337475
306,Harrow,Ireland,,village,52.564245299999996,-6.4445063
307,Harrow,Australia,,neighbourhood,-37.2063,141.346781
308,Harrow,Australia,,village,-37.1654534,141.5922439
309,Harrow,United Kingdom,KW14 8XH,village,58.6493988,-3.2403439
310,Harrow,USA,18942,village,40.4912136,-75.1743405
311,Harrow,Somalia,,village,3.6016,43.572399
312,Harrow,Canada,N0R 1G0,city,42.035586,-82.9183594
313,Havet,Sweden,,village,57.915942,16.1891269
314,Havet,France,65130,village,43.082451299999995,0.22184720000000002
315,Havet,Sweden,,neighbourhood,58.6064522,16.2589633
316,Havet,Norway,3277,village,59.32985279999999,9.888416699999999
317,Havet,Norway,,village,59.2077583,9.240191699999999
318,Havet,Norway,,farm,59.2379194,9.4706722
319,Havet,Norway,,farm,58.83729720000001,9.2876167
320,Havet,Norway,,farm,59.426286100000006,10.1148055
321,Havet,Norway,,farm,58.677880200000004,9.072414
322,Havet,Norway,4957,farm,58.683181999999995,9.143924499999999
323,Heia,Norway,,county,58.9580817,10.873282199999998
324,Heia,Norway,,peak,68.2649557,13.9152834
325,Heia,Norway,6292,peak,62.6231953,6.159004400000001
326,Heia,Norway,1960,village,59.7712632,11.460605699999999
327,Heia,Norway,,village,69.14231140000001,19.0543707
328,Heia,Norway,,village,66.472114,13.499622
329,Heia,Norway,,village,66.64608100000001,13.308094
330,Heia,Norway,1435,farm,59.640538899999996,10.833336099999999
331,Heia,Norway,1580,village,59.349483299999996,10.775969400000001
332,Heia,Norway,,farm,59.493075,11.212472199999999
333,Helsingfors,Finland,,city,60.1674098,24.9425769
